ID,Species,Start_time,T_start_F
s0521uf,P. frontalis,20:21,
s0522uf,P. frontalis,20:22,
s0523uf,P. frontalis,20:23,
s0524uf,P. frontalis,20:23,72
s0525uf,P. frontalis,20:24,72
s0526uf,P. frontalis,20:25,70
s0527uf,P. frontalis,20:25,
s0528uf,P. frontalis,20:26,
s0601ic,P. carolinus,20:45,
s0603ic,P. carolinus,20:46,
s0606ic,P. carolinus,,
s0608ic,P. carolinus,,
s0609ic,P. carolinus,20:49,68
s0610ic,P. carolinus,20:49,66
s0611ic,P. carolinus,20:50,
s0612ic,P. carolinus,20:50,
s0613ic,P. carolinus,20:51,
s1601io,P. obscurellus,20:15,
s1602io,P. obscurellus,20:16,
s1604io,P. obscurellus,20:18,
s1613uf,P. frontalis,20:55,78
s1613io,P. obscurellus,20:23,
s1615uf,P. frontalis,20:56,68
s1617uf,P. frontalis,20:56,68
s1806ik,P. knulli,19:15,82
s1809ik,P. knulli,19:12,77
s1810ik,P. knulli,19:11,86
s1813ik,P. knulli,19:08,77
s2524ur,P. forresti,20:34,75
s2601ur,P. forresti,20:40,
s2607ic,P. carolinus,20:56,77
s2609ic,P. carolinus,20:57,73
s2609io,P. obscurellus,20:21,67
s2617bw,B. wickershamorum,19:30,83
s2618bw,B. wickershamorum,19:30,73
s2619bw,B. wickershamorum,19:30,85
s2620bw,B. wickershamorum,19:30,83
s2621bw,B. wickershamorum,19:31,66
s2623bw,B. wickershamorum,19:31,81
s2624bw,B. wickershamorum,19:31,79
s2625bw,B. wickershamorum,19:31,83
s2626bw,B. wickershamorum,19:31,78
s2626ic,P. carolinus,20:55,68
s2627bw,B. wickershamorum,19:31,
s2628bw,B. wickershamorum,19:31,83
s2629bw,B. wickershamorum,19:31,76
s2630bw,B. wickershamorum,19:31,78
s2705ub,P. bethaniensis,20:28,72
s2706ub,P. bethaniensis,20:27,
s2715bw,B. wickershamorum,19:28,79
s2716bw,B. wickershamorum,19:28,85
s2718bw,B. wickershamorum,19:27,88
s2720bw,B. wickershamorum,19:26,90
s2724bw,B. wickershamorum,19:24,70
s2801ub,P. bethaniensis,20:10,75
s2803ub,P. bethaniensis,20:09,78
s2809ik,P. knulli,19:13,
